输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,Polling主机,Polling DNS成功,Polling解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误,Polling HTTP成功,Polling HTTP状态码,Polling HTTP耗时毫秒,Polling HTTP服务器,Polling HTTP标题,Polling HTTP错误,Polling HTTPS成功,Polling HTTPS状态码,Polling HTTPS耗时毫秒,Polling HTTPS服务器,Polling HTTPS标题,Polling HTTPS错误
170.225.215.14,170.225.215.14,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,170.225.215.14,polling.170.225.215.14,False,,False,3029,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,197,,,True,204,,,True,387,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,True,377,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,False,437,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '170.225.215.14'. (_ssl.c:992)",True,200,380,Burp Collaborator https://burpcollaborator.net/,,,True,200,782,Burp Collaborator https://burpcollaborator.net/,,,False,,302,,,"HTTPConnectionPool(host='polling.170.225.215.14', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.170.225.215.14', port=80): Failed to resolve 'polling.170.225.215.14' ([Errno 11001] getaddrinfo failed)""))",False,,34,,,"HTTPSConnectionPool(host='polling.170.225.215.14', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.170.225.215.14', port=443): Failed to resolve 'polling.170.225.215.14' ([Errno 11001] getaddrinfo failed)""))"
https://199.247.7.198:8443,199.247.7.198,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,199.247.7.198,polling.199.247.7.198,False,,False,3142,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,229,,,True,227,,,True,359,220 colla.yoroi.company Burp Collaborator Server ready,,True,496,220 colla.yoroi.company Burp Collaborator Server ready,,False,686,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '199.247.7.198'. (_ssl.c:992)",True,200,481,Burp Collaborator https://burpcollaborator.net/,,,True,200,1432,Burp Collaborator https://burpcollaborator.net/,,,False,,139,,,"HTTPConnectionPool(host='polling.199.247.7.198', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.199.247.7.198', port=80): Failed to resolve 'polling.199.247.7.198' ([Errno 11001] getaddrinfo failed)""))",False,,2,,,"HTTPSConnectionPool(host='polling.199.247.7.198', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.199.247.7.198', port=443): Failed to resolve 'polling.199.247.7.198' ([Errno 11001] getaddrinfo failed)""))"
217.154.124.212,217.154.124.212,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,217.154.124.212,polling.217.154.124.212,False,,False,3281,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,166,,,True,231,,,True,445,220 collabo.tarchimb.org Burp Collaborator Server ready,,True,618,220 collabo.tarchimb.org Burp Collaborator Server ready,,False,1154,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '217.154.124.212'. (_ssl.c:992)",True,200,567,Burp Collaborator https://burpcollaborator.net/,,,True,200,1265,Burp Collaborator https://burpcollaborator.net/,,,False,,10,,,"HTTPConnectionPool(host='polling.217.154.124.212', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.217.154.124.212', port=80): Failed to resolve 'polling.217.154.124.212' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.217.154.124.212', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.217.154.124.212', port=443): Failed to resolve 'polling.217.154.124.212' ([Errno 11001] getaddrinfo failed)""))"
137.184.242.250,137.184.242.250,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,137.184.242.250,polling.137.184.242.250,False,,False,3421,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,260,,,True,280,,,True,522,220 e.sigint.nyc Burp Collaborator Server ready,,True,534,220 e.sigint.nyc Burp Collaborator Server ready,,False,1129,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '137.184.242.250'. (_ssl.c:992)",True,200,518,Burp Collaborator https://burpcollaborator.net/,,,True,200,1296,Burp Collaborator https://burpcollaborator.net/,,,False,,4,,,"HTTPConnectionPool(host='polling.137.184.242.250', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.137.184.242.250', port=80): Failed to resolve 'polling.137.184.242.250' ([Errno 11001] getaddrinfo failed)""))",False,,2,,,"HTTPSConnectionPool(host='polling.137.184.242.250', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.137.184.242.250', port=443): Failed to resolve 'polling.137.184.242.250' ([Errno 11001] getaddrinfo failed)""))"
https://104.248.231.250:8443,104.248.231.250,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,104.248.231.250,polling.104.248.231.250,False,,False,3365,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,280,,,True,256,,,True,554,220 brp.prd.rocks Burp Collaborator Server ready,,True,524,220 brp.prd.rocks Burp Collaborator Server ready,,False,1136,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '104.248.231.250'. (_ssl.c:992)",True,200,609,Burp Collaborator https://burpcollaborator.net/,,,True,200,1238,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.104.248.231.250', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.104.248.231.250', port=80): Failed to resolve 'polling.104.248.231.250' ([Errno 11001] getaddrinfo failed)""))",False,,2,,,"HTTPSConnectionPool(host='polling.104.248.231.250', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.104.248.231.250', port=443): Failed to resolve 'polling.104.248.231.250' ([Errno 11001] getaddrinfo failed)""))"
67.207.72.191,67.207.72.191,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,67.207.72.191,polling.67.207.72.191,False,,False,3468,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,276,,,True,264,,,True,526,220 collab.invokeshell.net Burp Collaborator Server ready,,True,605,220 collab.invokeshell.net Burp Collaborator Server ready,,False,973,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '67.207.72.191'. (_ssl.c:992)",True,200,718,Burp Collaborator https://burpcollaborator.net/,,,True,200,1140,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.67.207.72.191', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.67.207.72.191', port=80): Failed to resolve 'polling.67.207.72.191' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.67.207.72.191', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.67.207.72.191', port=443): Failed to resolve 'polling.67.207.72.191' ([Errno 11001] getaddrinfo failed)""))"
164.92.128.50,164.92.128.50,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,164.92.128.50,polling.164.92.128.50,False,,False,3373,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,308,,,True,280,,,True,659,220 dc-eu014.campnet.pl Burp Collaborator Server ready,,True,521,220 dc-eu014.campnet.pl Burp Collaborator Server ready,,False,1027,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '164.92.128.50'. (_ssl.c:992)",True,200,566,Burp Collaborator https://burpcollaborator.net/,,,True,200,1279,Burp Collaborator https://burpcollaborator.net/,,,False,,55,,,"HTTPConnectionPool(host='polling.164.92.128.50', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.164.92.128.50', port=80): Failed to resolve 'polling.164.92.128.50' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.164.92.128.50', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.164.92.128.50', port=443): Failed to resolve 'polling.164.92.128.50' ([Errno 11001] getaddrinfo failed)""))"
34.231.38.158,34.231.38.158,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,34.231.38.158,polling.34.231.38.158,False,,False,3495,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,309,,,True,313,,,True,634,220 collaborator.redlens.link Burp Collaborator Server ready,,True,660,220 collaborator.redlens.link Burp Collaborator Server ready,,False,1139,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '34.231.38.158'. (_ssl.c:992)",True,200,643,Burp Collaborator https://burpcollaborator.net/,,,True,200,1222,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.34.231.38.158', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.34.231.38.158', port=80): Failed to resolve 'polling.34.231.38.158' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.34.231.38.158', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.34.231.38.158', port=443): Failed to resolve 'polling.34.231.38.158' ([Errno 11001] getaddrinfo failed)""))"
167.71.68.76,167.71.68.76,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,167.71.68.76,polling.167.71.68.76,False,,False,3540,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,255,,,True,339,,,True,690,220 bc.cybercloud.io Burp Collaborator Server ready,,True,690,220 bc.cybercloud.io Burp Collaborator Server ready,,False,1236,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '167.71.68.76'. (_ssl.c:992)",True,200,559,Burp Collaborator https://burpcollaborator.net/,,,True,200,1194,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.167.71.68.76', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.167.71.68.76', port=80): Failed to resolve 'polling.167.71.68.76' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.167.71.68.76', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.167.71.68.76', port=443): Failed to resolve 'polling.167.71.68.76' ([Errno 11001] getaddrinfo failed)""))"
35.182.250.134,35.182.250.134,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,35.182.250.134,polling.35.182.250.134,False,,False,3576,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,354,,,True,298,,,True,615,220 collab.xanthus.dev Burp Collaborator Server ready,,True,715,220 collab.xanthus.dev Burp Collaborator Server ready,,False,882,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '35.182.250.134'. (_ssl.c:992)",True,200,614,Burp Collaborator https://burpcollaborator.net/,,,True,200,1511,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.35.182.250.134', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.35.182.250.134', port=80): Failed to resolve 'polling.35.182.250.134' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.35.182.250.134', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.35.182.250.134', port=443): Failed to resolve 'polling.35.182.250.134' ([Errno 11001] getaddrinfo failed)""))"
104.197.184.198,104.197.184.198,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,104.197.184.198,polling.104.197.184.198,False,,False,3514,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,317,,,True,273,,,True,546,220 oastly.com Burp Collaborator Server ready,,True,756,220 oastly.com Burp Collaborator Server ready,,False,1092,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '104.197.184.198'. (_ssl.c:992)",True,200,692,Burp Collaborator https://burpcollaborator.net/,,,True,200,1431,Burp Collaborator https://burpcollaborator.net/,,,False,,2,,,"HTTPConnectionPool(host='polling.104.197.184.198', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.104.197.184.198', port=80): Failed to resolve 'polling.104.197.184.198' ([Errno 11001] getaddrinfo failed)""))",False,,2,,,"HTTPSConnectionPool(host='polling.104.197.184.198', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.104.197.184.198', port=443): Failed to resolve 'polling.104.197.184.198' ([Errno 11001] getaddrinfo failed)""))"
54.146.38.135,54.146.38.135,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,54.146.38.135,polling.54.146.38.135,False,,False,6146,,timed out,True,279,,,True,275,,,True,580,220 col.vatst.site Burp Collaborator Server ready,,True,681,220 col.vatst.site Burp Collaborator Server ready,,False,860,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '54.146.38.135'. (_ssl.c:992)",True,200,614,Burp Collaborator https://burpcollaborator.net/,,,True,200,1325,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.54.146.38.135', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.54.146.38.135', port=80): Failed to resolve 'polling.54.146.38.135' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.54.146.38.135', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.54.146.38.135', port=443): Failed to resolve 'polling.54.146.38.135' ([Errno 11001] getaddrinfo failed)""))"
164.90.183.242,164.90.183.242,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,164.90.183.242,polling.164.90.183.242,False,,False,6094,,timed out,True,305,,,True,338,,,True,596,220 vaadata.collaborator.fr Burp Collaborator Server ready,,True,525,220 vaadata.collaborator.fr Burp Collaborator Server ready,,False,1043,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '164.90.183.242'. (_ssl.c:992)",True,200,546,Burp Collaborator https://burpcollaborator.net/,Vaadata's Burp Collaborator,,True,200,1438,Burp Collaborator https://burpcollaborator.net/,Vaadata's Burp Collaborator,,False,,1,,,"HTTPConnectionPool(host='polling.164.90.183.242', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.164.90.183.242', port=80): Failed to resolve 'polling.164.90.183.242' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.164.90.183.242', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.164.90.183.242', port=443): Failed to resolve 'polling.164.90.183.242' ([Errno 11001] getaddrinfo failed)""))"
213.164.30.187,213.164.30.187,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,213.164.30.187,polling.213.164.30.187,False,,False,6065,,timed out,True,411,,,True,374,,,True,580,220 bc-hackner-security.com Burp Collaborator Server ready,,True,538,220 bc-hackner-security.com Burp Collaborator Server ready,,False,1184,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '213.164.30.187'. (_ssl.c:992)",True,200,710,Burp Collaborator https://burpcollaborator.net/,,,True,200,1284,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.213.164.30.187', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.213.164.30.187', port=80): Failed to resolve 'polling.213.164.30.187' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.213.164.30.187', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.213.164.30.187', port=443): Failed to resolve 'polling.213.164.30.187' ([Errno 11001] getaddrinfo failed)""))"
